type,name,usage_count,node_types,civitai_name,civitai_id,version,download_url,page_url,workflows
checkpoint,Zimage-aio\Z-Image-Anime-AIO-FP8_V1.safetensors,13,CheckpointLoaderSimple,Eldritch Ink Art for Z-Image,2597137,,https://civitai.com/api/download/models/2917439,https://civitai.com/models/2597137,For循环Zimage文图+seedvr2(1).json; For循环Zimage文图+seedvr2(1).json; For循环Zimage文图+seedvr2(1)_20260317_114852.json
checkpoint,sdpose_wholebody_fp16.safetensors,10,CheckpointLoaderSimple,Z-Image-ControlNet + SDPOSE + second-order Refiner,2195512,,https://civitai.com/api/download/models/2472063,https://civitai.com/models/2195512,1 (1)(1)_20260406_094458.json; 1超级王炸 【分段队列】【 自动拼接长视频】【人物丝滑换装】By_肥猴(1).json; bodyratiomapper_officail_sdpose(2).json
checkpoint,ltx-2.3-22b-dev.safetensors,8,CheckpointLoaderSimple,"LTX-2.3, simple workflow. T2V,  I2V, I2V external audio, FFLF",2593905,,https://civitai.com/api/download/models/2918575,https://civitai.com/models/2593905,LTX+2.3+多帧生视频+电影级效果（支持音频传入）.json; LTX2.3局部重绘.json; ltx2.3数字人.json
checkpoint,ltx-2.3-22b-dev-fp8.safetensors,7,CheckpointLoaderSimple,"LTX-2.3, simple workflow. T2V,  I2V, I2V external audio, FFLF",2593905,,https://civitai.com/api/download/models/2918575,https://civitai.com/models/2593905,LTX 2.3图生视频_文生视频工作流.json; LTX-2.3配音术升级版：输入台词就能生成短剧！FishAudio+S2+++LTX-2.3实战.json; LTX2.3南风阳平分镜.json
checkpoint,ltx-2-19b-dev-fp8.safetensors,4,CheckpointLoaderSimple,"LTX-2.3, simple workflow. T2V,  I2V, I2V external audio, FFLF",2593905,,https://civitai.com/api/download/models/2918575,https://civitai.com/models/2593905,LTX-2+文生视频低显存版(1).json; ltx-video-and-audio-extend.json; LTX2.0文生视频.json
checkpoint,waiIllustriousSDXL_v160.safetensors,4,CheckpointLoaderSimple,Pony Diffusion V6 XL,257749,,https://civitai.com/api/download/models/290640,https://civitai.com/models/257749,T2I image generator 3.0(1).json; T2I image generator 3.0(1).json; 图片(1).json
checkpoint,Qwen-Rapid-AIO-NSFW-v19.safetensors,3,CheckpointLoaderSimple,"iGEN ONE (ZImage, Ernie, FLUX1/2, Qwen, HiDream, Nunchaku)",2572843,,https://civitai.com/api/download/models/2914452,https://civitai.com/models/2572843,aio动漫转真人 垃圾佬.json; 千问转真人 垃圾佬.json; 转真人(1).json
checkpoint,XL-写实\IL-perfectionRealisticILXL_33.safetensors,3,CheckpointLoaderSimple,ao_no_kanata_no_four_rhythm_characters_4in1_IL,2597947,,https://civitai.com/api/download/models/2918319,https://civitai.com/models/2597947,▶▶ZITB+F2K+NSW修复+高清(整合流)(1).json; ★NSW修复流-V2.json; 黑鹤001-NSW修复流-V2+(手涂遮罩版).json
checkpoint,10Eros_v1-fp8mixed_learned.safetensors,2,CheckpointLoaderSimple,Pony Diffusion V6 XL,257749,,https://civitai.com/api/download/models/290640,https://civitai.com/models/257749,10Eros_10SNodes_TripleSample_Custom-Audio-Music-Video(1).json; 10Eros_10SNodes_TripleSample_I2V(1).json
checkpoint,ltx-2.3-22b-distilled-fp8.safetensors,2,CheckpointLoaderSimple,"LTX-2.3, simple workflow. T2V,  I2V, I2V external audio, FFLF",2593905,,https://civitai.com/api/download/models/2918575,https://civitai.com/models/2593905,LTX-2.3-图-文-生视频(1).json; 首尾 OLLAMA 工作流 完美版.json
